date,ville,produit,prix
2025-01-20,Casa,Ordinateur,8000.0
2025-01-20,Marrakech,Ordinateur,7000.0
2025-01-20,Rabat,Ordinateur,20000.0
2025-01-20,Casa,Ecran,5000.0
2025-01-20,Rabat,Ordinateur,17000.0
2025-01-20,Fes,Ecran,1000.0
2025-01-20,Casa,Ordinateur,5500.0
2025-01-20,Rabat,Ecran,500.0
2025-01-20,Casa,Ordinateur,6000.0
2025-01-20,Fes,Ordinateur,7000.0
2025-01-20,Casa,Ecran,700.0
2025-01-21,Marrakech,Ordinateur,10000.0
2025-01-21,Rabat,Ordinateur,13000.0
2025-01-21,Rabat,Ecran,4000.0
2025-01-21,Marrakech,Ordinateur,11000.0
2025-01-21,Fes,Ordinateur,16000.0
2025-01-21,Rabat,Ecran,500.0
2025-01-21,Casa,Ordinateur,6000.0
2025-01-21,Fes,Ordinateur,7000.0
2025-01-21,Casa,Ecran,700.0
2025-01-21,Marrakech,Ordinateur,10000.0
2025-01-21,Rabat,Ordinateur,13000.0
2025-01-21,Rabat,Ecran,4000.0
2025-01-21,Marrakech,Ordinateur,11000.0
2025-01-22,Fes,Ordinateur,16000.0
2025-01-22,Tanger,Ordinateur,8500.0
2025-01-22,Rabat,Antivirus,500.0
2025-01-22,Rabat,Imprimante,5500.0
2025-01-22,Fes,Ordinateur,10000.0
2025-01-22,Casa,Ordinateur,12500.0
2025-01-22,Marrakech,Antivirus,600.0
2025-01-22,Tanger,Imprimante,4000.0
2025-01-22,Rabat,Ecran,1500.0
2025-01-22,Fes,Ordinateur,6500.0
2025-01-23,Marrakech,Ordinateur,9000.0
2025-01-23,Rabat,Antivirus,700.0
2025-01-23,Fes,Ordinateur,9500.0
2025-01-23,Fes,Ordinateur,17000.0
2025-01-23,Rabat,Imprimante,3000.0
2025-01-23,Marrakech,Ordinateur,14000.0
2025-01-23,Tanger,Ordinateur,3500.0
2025-01-23,Tanger,Antivirus,500.0
2025-01-23,Casa,Ecran,2000.0
2025-01-23,Casa,Ordinateur,8000.0
2025-01-24,Marrakech,Ordinateur,7000.0
2025-01-24,Rabat,Ordinateur,20000.0
2025-01-24,Casa,Ecran,5000.0
2025-01-24,Rabat,Ordinateur,17000.0
2025-01-24,Fes,Ecran,1000.0
2025-01-24,Casa,Ordinateur,5500.0
2025-01-24,Rabat,Ecran,500.0
2025-01-24,Casa,Ordinateur,6000.0
2025-01-24,Fes,Ordinateur,7000.0
2025-01-24,Casa,Ecran,700.0
2025-01-25,Marrakech,Ordinateur,10000.0
2025-01-25,Rabat,Ordinateur,13000.0
2025-01-25,Rabat,Ecran,4000.0
2025-01-25,Marrakech,Ordinateur,11000.0
2025-01-25,Fes,Ordinateur,16000.0
2025-01-26,Tanger,Ordinateur,8500.0
2025-01-26,Rabat,Antivirus,500.0
2025-01-26,Rabat,Imprimante,5500.0
2025-01-26,Fes,Ordinateur,10000.0
2025-01-26,Casa,Ordinateur,12500.0
2025-01-27,Marrakech,Antivirus,600.0
2025-01-27,Tanger,Imprimante,4000.0
2025-01-27,Rabat,Ecran,1500.0
2025-01-27,Fes,Ordinateur,6500.0
2025-01-28,Marrakech,Ordinateur,9000.0
2025-01-28,Rabat,Antivirus,700.0
2025-01-28,Fes,Ordinateur,9500.0
2025-01-28,Fes,Ordinateur,17000.0
2025-01-28,Rabat,Imprimante,3000.0
2025-01-28,Marrakech,Ordinateur,14000.0
2025-01-28,Tanger,Ordinateur,3500.0
2025-01-28,Tanger,Antivirus,500.0
2025-01-29,Casa,Ecran,2000.0
2025-01-29,Casa,Ordinateur,8000.0
2025-01-29,Marrakech,Ordinateur,7000.0
2025-01-29,Rabat,Ordinateur,20000.0
2025-01-30,Casa,Ecran,5000.0
2025-01-30,Rabat,Ordinateur,17000.0
2025-01-30,Fes,Ecran,1000.0
2025-01-30,Casa,Ordinateur,5500.0
2025-01-30,Rabat,Ecran,500.0
2025-01-30,Casa,Ordinateur,6000.0
2025-01-30,Fes,Ordinateur,7000.0
2025-01-31,Casa,Ecran,700.0
2025-01-31,Marrakech,Ordinateur,10000.0
2025-01-31,Rabat,Ordinateur,13000.0
2025-01-31,Rabat,Ecran,4000.0
2025-01-31,Marrakech,Ordinateur,11000.0
2025-01-31,Fes,Ordinateur,16000.0
